"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"ENSMUSG00000007877","908.987","689.179","94.01700000000001","198.31","127.398","197.00799999999998","197.817","431.687","Cryab"
"ENSMUSG00000026208","478.92800000000005","523.361","288.02","378.042","332.51599999999996","350.53","300.038","589.103","Csrp3"
"ENSMUSG00000028116","646.99","642.628","276.565","348.846","341.249","449.58","400.39300000000003","319.288","Des"
"ENSMUSG00000028273","523.432","562.768","213.93900000000002","225.53099999999998","219.09900000000002","258.20099999999996","235.262","235.811","Myoz2"
"ENSMUSG00000030470","793.829","783.7260000000001","506.004","621.965","666.4989999999999","609.047","624.745","179.144","Pdlim5"
"ENSMUSG00000032060","972.775","1464.11","487.531","453.204","621.812","589.2180000000001","471.106","228.925","Pygm"
"ENSMUSG00000032648","402.05400000000003","404.173","226.192","273.995","226.28599999999997","264.163","212.89","120.314","Tcap"
