"Eif5b"
"Npas2"
"Arhgap30"
"Cul3"
"Col4a4"
"Dtymk"
"Steap3"
"Dcaf6"
"Gm2962"
"Ifi203,Mndal"
"Ctnna3"
"Hmha1"
"Pde7b"
"Dse"
"Uqcr11"
"Hmga2"
"Rtn4"
"Dhrs7c"
"Per1"
"Mgl2"
"Samd14"
"Cd68"
"Acap1"
"Cd300ld"
"Ntsr2"
"Agmo"
"Id2"
"Pole2"
"Clmn"
"Rnf144b"
"Nedd9"
"1110007C09Rik"
"Mast4"
"Tm9sf2"
"Dlgap5"
"2310016M24Rik"
"Sstr3"
"B3gnt5"
"Rtp4"
"0610037P05Rik"
"Robo2"
"Ripk4"
"Tmem8"
"Tmem204"
"Cacna1h"
"F830016B08Rik"
"Pcyox1l"
"Gm10053"
"Hells"
"Lrp5"
"Ppp1r26"
"Gm13597"
"Lgr4"
"Prnd,Prnp"
"Srsf6"
"Kcnb1"
"Zfp217"
"Car3"
"Prkci"
"S100a4"
"Col11a1"
"Lrrc40"
"Fam160a1"
"Dclk2"
"Fcrls"
"Capza1"
"Sh3glb1"
"Ndufaf4"
"Gm10151"
"Bag1"
"Cdca8"
"Gm1673"
"Mdh2"
"Cyth3"
"Mir5105"
"Steap2"
"Letm1"
"A930038C07Rik"
"Suclg1"
"Slc37a3"
"Rassf7"
"Samd4b"
"Fxyd3"
"Blm"
"5033428I22Rik"
"Hsf4"
"Ckap2"
"Ccdc102a"
"Gtl3"
"Tmprss13"
"Snapc5"
"Tpbg"
"Dzip1l"
"Myl3"
"Tcf12"
"Lrrc1"
"Chst2"
"Ogt"
"Phka2"
"Gm6206"
"Cnnm3"
"Osgepl1"
"Phlda3"
"Lad1"
"Aldh9a1"
"Rftn2"
"Shisa4"
"A430046D13Rik"
"Ppm1d"
"Purb"
"Usp22"
"Cntrob"
"Ctage5"
"Serpina3h"
"Dio2"
"Lgmn"
"Golm1"
"Anxa11"
"Ldb3"
"Msra"
"Esco2"
"Acvrl1"
"Rad21"
"C1qtnf6"
"Dlg1"
"Gap43"
"Has1"
"2410015M20Rik"
"Arhgap28"
"Rbbp8"
"Pten"
"Rrp12"
"B3galt1"
"Immp1l"
"2900064A13Rik"
"Gins1"
"Cd302"
"Hspa4l"
"3110057O12Rik"
"Gm15417"
"Ankrd34a"
"Kirrel"
"Runx1t1"
"Atpaf1"
"Hnrnpr"
"Gnb1"
"Psip1"
"Acot11"
"Gm13251"
"Kif1b"
"Fam185a"
"Mlxipl"
"Mcm7"
"Fam13a"
"Nup210"
"Adamts9"
"Homer2"
"P2ry6"
"Mcf2l"
"Aga"
"Cbr4"
"Wfdc1"
"Hp"
"Casp12"
"Ptpn9"
"Fmr1"
"Pola1"
"Insig2"
"Hsd11b1"
"Ptbp1"
"Gm11992"
"Slc43a2"
"Ifi35"
"Mrpl12"
"2810408A11Rik"
"Etv1"
"Rhob"
"Bcl11b"
"Ckb"
"Alcam"
"BC003965"
"Zfp523"
"Tnxb"
"Plekhh2"
"Mrps36-ps1"
"Ndc80"
"Camk2a"
"C330018D20Rik"
"Adrb2"
"Mlana"
"Scd3"
"Hif1an"
"Tjp2"
"Bub1"
"Clcc1"
"Cd101"
"Ndufb6"
"Mast2"
"Nbl1"
"Stbd1"
"Mn1"
"Cit"
"Gm15469"
"Zcchc8"
"Gars"
"Zfp30"
"Eps8l2"
"Rabac1"
"Hpn"
"Deb1"
"Islr"
"Fam123b"
"Cenpl"
"Slc19a3"
"Slc16a9"
"Nup107"
"Ramp3"
"Glns-ps1"
"Pmp22"
"Clec10a"
"Rilp"
"Gck"
"Ryr2"
"Ccdc14"
"Zbtb20"
"Il33"
"Asrgl1"
"Gm13479"
"Ak3l2-ps"
"Gm14305,Gm14306"
"Gm14400"
"Cisd2"
"Cyr61"
"Slc31a2"
"Cdkn2c"
"Adc"
"Trnp1"
"Dnajc16"
"Gm13054"
"Park7"
"Kcnc3"
"Scgb1c1"
"Nipa1"
"Gipc1"
"Mt3"
"Nlrx1"
"Higd1a"
"Slc38a5"
"Hdac6"
"Slc4a3"
"5430435G22Rik"
"Slc35f1"
"Aim1"
"Ccl7"
"Dnajc9"
"Dnajc15"
"St3gal1"
"1810013L24Rik"
"Stfa2l1"
"Tmem41a"
"Tmem63b"
"Kif5b"
"Alpk2"
"Xrn2"
"Igsf3"
"Ccbl2"
"Serp1"
"BC027582,Olfml3"
"Lepr"
"Insig1"
"Rab7"
"Insc"
"4632434I11Rik"
"St5"
"Chordc1"
"S1pr5"
"Zfp609"
"Rbmx"
"Lpgat1"
"Cd55"
"Rgs7"
"Map3k5"
"Tmem93"
"Krt7"
"Gm17496"
"Ube2v2"
"Srrm2"
"Vit"
"Ifit1"
"Gpr137"
"Zfp345"
"Znfx1"
"Tmem53"
"BC046331"
"Rpl6"
"Pom121"
"Lig1"
"2310022A10Rik"
"2410002F23Rik"
"6330503K22Rik"
"Tmem126b"
"Art5"
"Ppp2r3a"
"Phf16"
"Nsdhl"
"Plxna3"
"Slc9a7"
"Nop58"
"Fmnl1"
"Rsad2"
"Ralgapa1"
"Cab39l"
"Extl3"
"9930012K11Rik"
"Tbc1d4"
"A630055G03Rik"
"Gm6767"
"Zfp13"
"Kctd5"
"Foxp4"
"Nxf1"
"Dpp3"
"Cercam"
"Ubqln4"
"Pmvk"
"Pogz"
"Adamtsl1"
"Shb"
"Ccdc21"
"Tmem33"
"Slc30a9"
"Qdpr"
"Gm7964"
"Dedd2"
"Tlr3"
"Slc25a4"
"Zswim4"
"Gli2"
"Specc1"
"Tbx2"
"Cox10"
"Rph3al"
"Atad2b"
"Akt1"
"Rgs7bp"
"Ndufb4"
"Znrd1as"
"Apcdd1"
"Ifit3"
"Nfkb2"
"Trp53i11"
"Rsu1"
"Gm13340"
"Crat"
"Psrc1"
"Kpna4"
"Nrd1"
"Mob1b"
"4930524J08Rik"
"Rad9b"
"Polr2l"
"Klf2"
"Zfp827"
"Bcar1"
"8430410K20Rik"
"Nt5e"
"Hsd17b10"
"Cfp"
"Zfp280c"
"Morf4l2"
"Gpr161"
"6330578E17Rik"
"Ptprc"
"Hnrnpu"
"Socs2"
"Rab21"
"Cdc6"
"Foxk2,Narf"
"Tbcd"
"Dhx33"
"Prkar2b"
"Setd3"
"Gmnn"
"Rrm2b"
"Snai2"
"Rpl10a"
"Enpp5"
"Ifit2"
"Ubr3"
"Sec24b"
"Klhl7"
"Ube3b"
"Ggct"
"Kcmf1"
"Gm15856"
"Rad51ap1"
"5930416I19Rik"
"Dnaja4"
"Ifrd2"
"Ctdspl"
"Armcx5,Gprasp1"
"Hebp2"
"Nin"
"Nnt"
"Ttc35"
"Apbb1ip"
"E130311K13Rik"
"Cd53"
"Fbxo10"
"Zfp467"
"Rpusd3"
"Clpb"
"Idh3g"
"BC055324"
"Gm16340"
"Gns"
"Rnf157"
"Ifrd1"
"Mrs2"
"4930572J05Rik"
"Pmm1"
"Zfp40"
"Vldlr"
"Dpp4"
"Zmpste24"
"Fam193a"
"Gstm2-ps1"
"Akt2"
