"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"ENSMUSG00000014606","235.878","243.668","126.962","161.972","137.73","154.246","148.885","103.974","Acat1"
"ENSMUSG00000024997","194.12900000000002","208.733","125.21700000000001","134.517","129.435","137.84","124.49","120.568","Echs1"
"ENSMUSG00000025465","192.143","229.013","119.546","139.306","156.433","162.858","134.201","131.263","Phyh"
"ENSMUSG00000026664","291.36","265.07","148.276","129.611","160.124","187.34900000000002","150.903","117.515","Prdx3"
"ENSMUSG00000032047","168.89","159.811","106.505","162.31799999999998","150.498","144.268","138.906","139.447","Slc25a11"
